"epoch_mjd","a","e","i","om","w","ma"
60400,5.14,0.0309,5.86,78.31,329.55,61.24
60400,5.186,0.0938,1.42,171.64,56.34,92.64
60400,5.195,0.0914,25.15,122.58,217.88,14.36
60400,5.306,0.0659,11.54,251.08,161.62,75.43
60400,5.217,0.0665,24.13,213.23,119.75,137.29
60400,5.218,0.0643,12.58,195.66,178.64,97.91
60400,5.27,0.0635,20.97,261.21,152.61,85.77
60400,5.332,0.0144,17.30,3.32,62.15,43.50
60400,5.218,0.0304,17.10,6.18,98.18,345.56
60400,5.151,0.0492,3.53,342.37,7.20,4.89
60400,5.189,0.0369,3.35,140.62,231.93,351.21
60400,5.174,0.1440,18.51,214.70,128.87,6.59
60400,5.286,0.1550,14.67,138.34,182.84,39.19
60400,5.286,0.0645,13.70,128.06,129.05,99.14
60400,5.134,0.1281,14.48,226.01,89.56,32.25
60400,5.153,0.1426,4.68,19.92,16.02,67.90
60400,5.229,0.0429,11.31,149.67,160.54,26.61
60400,5.178,0.0929,24.05,242.65,112.14,355.63
60400,5.22,0.0683,11.47,219.78,87.85,16.55
60400,5.163,0.0660,10.08,44.52,40.61,49.10
60400,5.214,0.2090,2.05,351.00,304.70,41.08
60400,5.178,0.1249,21.09,227.56,178.39,69.04
60400,5.113,0.0691,29.78,222.63,94.77,44.82
60400,5.235,0.0716,30.84,213.23,66.16,60.00
60400,5.164,0.1500,6.57,337.59,342.70,37.75
60400,5.183,0.0592,1.78,111.88,326.54,59.25
60400,5.244,0.0377,9.50,298.91,162.85,19.77
60400,5.126,0.0197,26.44,219.32,223.19,11.07
60400,5.158,0.0910,11.86,204.18,231.17,20.66
60400,5.24,0.0937,12.80,160.17,274.57,33.17
60400,5.253,0.0418,43.42,200.21,131.16,33.75
60400,5.149,0.1520,8.44,40.50,340.42,94.04
60400,5.12,0.0583,5.75,358.14,38.79,73.36
60400,5.188,0.0520,7.61,15.16,5.21,94.32
60400,5.149,0.1233,22.95,280.44,97.85,84.18
60400,5.184,0.0116,8.22,91.01,293.01,119.19
60400,5.216,0.1374,2.54,10.91,104.52,358.48
60400,5.214,0.1128,5.08,302.92,66.93,90.72
60400,5.228,0.0892,17.95,8.05,315.91,154.95
60400,5.184,0.0481,4.51,227.44,99.96,161.80
60400,5.201,0.0557,9.11,4.34,54.40,59.66
60400,5.267,0.0758,3.84,343.03,166.05,337.27
60400,5.088,0.0631,4.32,53.83,37.79,42.17
60400,5.072,0.0905,0.92,182.58,256.89,22.75
60400,5.076,0.1100,2.30,284.78,150.05,42.47
60400,5.173,0.1345,15.43,41.93,75.73,0.18
60400,5.174,0.0291,9.34,57.89,118.95,286.41
60400,5.218,0.1050,6.64,96.27,356.67,14.06
60400,5.245,0.0483,7.30,96.69,305.82,73.22
60400,5.164,0.0664,4.91,89.56,337.39,54.43
60400,5.168,0.0660,6.39,252.21,162.11,75.63
60400,5.237,0.0447,13.96,157.13,168.17,148.14
60400,5.204,0.0961,7.25,355.91,21.29,87.13
60400,5.27,0.1224,7.53,160.82,128.28,66.07
60400,5.197,0.0084,10.52,323.58,95.09,66.86
60400,5.177,0.0751,7.94,353.41,123.52,355.03
60400,5.233,0.0992,10.70,206.81,244.27,42.67
60400,5.275,0.0712,5.64,249.74,165.45,87.08
60400,5.142,0.0957,8.26,25.06,53.33,19.86
60400,5.191,0.1343,28.58,150.16,233.36,94.20
60400,5.27,0.1134,7.97,67.24,55.54,350.24
60400,5.262,0.0850,8.40,132.12,280.32,45.26
60400,5.148,0.0861,8.67,41.38,26.13,64.74
60400,5.201,0.0899,15.01,284.41,128.65,39.22
60400,5.26,0.1454,6.48,179.01,254.85,32.23
60400,5.216,0.0315,4.45,1.48,8.88,108.17
60400,5.248,0.0430,13.65,156.06,287.62,58.81
60400,5.155,0.1618,2.94,194.75,186.55,99.21
60400,5.186,0.0841,11.36,154.78,246.17,85.21
60400,5.18,0.2038,12.02,258.39,165.40,52.62
60400,5.184,0.0969,12.98,50.31,5.24,77.29
60400,5.135,0.0268,28.46,189.60,315.74,331.32
